order_id,location,order_datetime,items,num_items,subtotal,delivery_fee,total,delivery_time_minutes,customer_rating,is_weekend,is_rainy,hour
1000,Kilimani,2024-08-01 19:15:00,Matoke & Beef,1,480,100,580,57,4.5,False,False,19
1001,Kilimani,2024-08-01 12:01:00,Pilau,1,450,100,550,52,5.0,False,False,12
1002,Kilimani,2024-08-01 20:14:00,Nyama Choma Platter,1,850,0,850,67,3.0,False,False,20
1003,Kilimani,2024-08-01 13:13:00,Nyama Choma Platter|Chicken Biriyani|Pilau,3,1850,0,1850,73,2.5,False,False,13
1004,Kilimani,2024-08-01 12:46:00,Chicken Biriyani,1,550,0,550,59,5.0,False,False,12
1005,Kilimani,2024-08-01 19:36:00,Pilau,1,450,100,550,59,4.5,False,False,19
1006,Kilimani,2024-08-01 12:54:00,Chicken Biriyani,1,550,0,550,71,3.0,False,False,12
1007,Kilimani,2024-08-01 19:22:00,Pilau,1,450,100,550,72,4.0,False,False,19
1008,Kilimani,2024-08-01 13:10:00,Pilau,1,450,100,550,69,3.0,False,False,13
1009,Kilimani,2024-08-01 12:14:00,Chips Masala|Samosa (6pc),2,450,100,550,44,4.0,False,False,12
1010,Kilimani,2024-08-01 19:13:00,Pilau|Chicken Biriyani,2,1000,0,1000,61,3.5,False,False,19
1011,Kilimani,2024-08-01 19:47:00,Chips Masala,1,250,100,350,53,3.0,False,False,19
1012,Kilimani,2024-08-01 13:32:00,Nyama Choma Platter,1,850,0,850,66,2.0,False,False,13
1013,Kilimani,2024-08-01 17:38:00,Chicken Biriyani,1,550,0,550,73,3.0,False,False,17
1014,Kilimani,2024-08-01 12:43:00,Matoke & Beef|Samosa (6pc),2,680,0,680,75,3.0,False,False,12
1015,Kilimani,2024-08-01 13:29:00,Samosa (6pc),1,200,100,300,53,4.5,False,False,13
1016,Kilimani,2024-08-01 19:58:00,Matoke & Beef,1,480,100,580,74,3.0,False,False,19
1017,Kilimani,2024-08-01 13:34:00,Pilau|Mandazi (4pc)|Bhajia,3,820,0,820,52,3.5,False,False,13
1018,Kilimani,2024-08-01 19:56:00,Chicken Biriyani|Pilau|Githeri Special,3,1350,0,1350,75,3.5,False,False,19
1019,Kilimani,2024-08-01 20:52:00,Ugali & Fish,1,500,0,500,51,4.0,False,False,20
1020,Kilimani,2024-08-01 13:16:00,Chicken Biriyani,1,550,0,550,74,3.0,False,False,13
1021,Kilimani,2024-08-01 19:25:00,Bhajia|Matoke & Beef|Githeri Special,3,1050,0,1050,58,3.5,False,False,19
1022,Kilimani,2024-08-01 12:21:00,Pilau,1,450,100,550,59,4.0,False,False,12
1023,Kilimani,2024-08-01 12:14:00,Chicken Biriyani,1,550,0,550,59,4.5,False,False,12
1024,Kilimani,2024-08-01 19:42:00,Pilau,1,450,100,550,70,2.5,False,False,19
1025,Kilimani,2024-08-01 20:51:00,Pilau,1,450,100,550,65,3.5,False,False,20
1026,Kilimani,2024-08-01 12:43:00,Pilau|Chips Masala,2,700,0,700,62,2.5,False,False,12
1027,Kilimani,2024-08-01 13:12:00,Nyama Choma Platter,1,850,0,850,70,3.0,False,False,13
1028,Kilimani,2024-08-01 12:28:00,Nyama Choma Platter|Pilau,2,1300,0,1300,82,2.5,False,False,12
1029,Kilimani,2024-08-01 12:59:00,Chicken Biriyani|Pilau,2,1000,0,1000,72,4.5,False,False,12
1030,Kilimani,2024-08-01 12:10:00,Samosa (6pc),1,200,100,300,51,4.0,False,False,12
1031,Kilimani,2024-08-01 20:09:00,Nyama Choma Platter,1,850,0,850,80,2.5,False,False,20
1032,Kilimani,2024-08-01 19:03:00,Pilau,1,450,100,550,57,4.5,False,False,19
1033,Kilimani,2024-08-01 12:54:00,Pilau,1,450,100,550,59,3.5,False,False,12
1034,Kilimani,2024-08-01 13:37:00,Chips Masala,1,250,100,350,60,4.5,False,False,13
1035,Kilimani,2024-08-01 19:59:00,Mandazi (4pc),1,150,100,250,42,3.0,False,False,19
1036,Kilimani,2024-08-01 13:42:00,Nyama Choma Platter|Pilau,2,1300,0,1300,76,2.5,False,False,13
1037,Kilimani,2024-08-01 12:04:00,Nyama Choma Platter,1,850,0,850,73,3.0,False,False,12
1038,Kilimani,2024-08-01 16:18:00,Samosa (6pc),1,200,100,300,56,4.5,False,False,16
1039,Kilimani,2024-08-01 21:33:00,Samosa (6pc),1,200,100,300,40,4.5,False,False,21
1040,Kilimani,2024-08-01 13:16:00,Pilau,1,450,100,550,56,4.0,False,False,13
1041,Kilimani,2024-08-01 13:45:00,Samosa (6pc),1,200,100,300,53,4.0,False,False,13
1042,Westlands,2024-08-01 12:05:00,Pilau|Githeri Special,2,800,0,800,59,4.0,False,False,12
1043,Westlands,2024-08-01 21:16:00,Samosa (6pc),1,200,100,300,47,5.0,False,False,21
1044,Westlands,2024-08-01 12:04:00,Ugali & Fish|Matoke & Beef|Pilau,3,1430,0,1430,63,3.5,False,False,12
1045,Westlands,2024-08-01 13:02:00,Pilau,1,450,100,550,60,3.5,False,False,13
1046,Westlands,2024-08-01 13:42:00,Chips Masala,1,250,100,350,58,4.5,False,False,13
1047,Westlands,2024-08-01 14:55:00,Ugali & Fish,1,500,0,500,57,4.0,False,False,14
1048,Westlands,2024-08-01 14:50:00,Chicken Biriyani|Samosa (6pc)|Ugali & Fish,3,1250,0,1250,57,4.0,False,False,14
1049,Westlands,2024-08-01 12:54:00,Nyama Choma Platter,1,850,0,850,70,4.0,False,False,12
1050,Westlands,2024-08-01 14:14:00,Nyama Choma Platter,1,850,0,850,67,3.5,False,False,14
1051,Westlands,2024-08-01 15:22:00,Samosa (6pc)|Nyama Choma Platter,2,1050,0,1050,59,5.0,False,False,15
1052,Westlands,2024-08-01 14:11:00,Pilau,1,450,100,550,52,4.0,False,False,14
1053,Westlands,2024-08-01 14:46:00,Samosa (6pc)|Chicken Biriyani,2,750,0,750,66,3.0,False,False,14
1054,Westlands,2024-08-01 12:45:00,Samosa (6pc),1,200,100,300,40,4.5,False,False,12
1055,Westlands,2024-08-01 12:42:00,Nyama Choma Platter|Samosa (6pc)|Matoke & Beef,3,1530,0,1530,72,4.0,False,False,12
